214
3
0,0,0
1.52101,13.64,4.49
1.51761,13.89,3.6
1.51618,13.53,3.55
1.51766,13.21,3.69
1.51742,13.27,3.62
1.51596,12.79,3.61
1.51743,13.3,3.6
1.51756,13.15,3.61
1.51918,14.04,3.58
1.51755,13,3.6
1.51571,12.72,3.46
1.51763,12.8,3.66
1.51589,12.88,3.43
1.51748,12.86,3.56
1.51763,12.61,3.59
1.51761,12.81,3.54
1.51784,12.68,3.67
1.52196,14.36,3.85
1.51911,13.9,3.73
1.51735,13.02,3.54
1.5175,12.82,3.55
1.51966,14.77,3.75
1.51736,12.78,3.62
1.51751,12.81,3.57
1.5172,13.38,3.5
1.51764,12.98,3.54
1.51793,13.21,3.48
1.51721,12.87,3.48
1.51768,12.56,3.52
1.51784,13.08,3.49
1.51768,12.65,3.56
1.51747,12.84,3.5
1.51775,12.85,3.48
1.51753,12.57,3.47
1.51783,12.69,3.54
1.51567,13.29,3.45
1.51909,13.89,3.53
1.51797,12.74,3.48
1.52213,14.21,3.82
1.52213,14.21,3.82
1.51793,12.79,3.5
1.51755,12.71,3.42
1.51779,13.21,3.39
1.5221,13.73,3.84
1.51786,12.73,3.43
1.519,13.49,3.48
1.51869,13.19,3.37
1.52667,13.99,3.7
1.52223,13.21,3.77
1.51898,13.58,3.35
1.5232,13.72,3.72
1.51926,13.2,3.33
1.51808,13.43,2.87
1.51837,13.14,2.84
1.51778,13.21,2.81
1.51769,12.45,2.71
1.51215,12.99,3.47
1.51824,12.87,3.48
1.51754,13.48,3.74
1.51754,13.39,3.66
1.51905,13.6,3.62
1.51977,13.81,3.58
1.52172,13.51,3.86
1.52227,14.17,3.81
1.52172,13.48,3.74
1.52099,13.69,3.59
1.52152,13.05,3.65
1.52152,13.05,3.65
1.52152,13.12,3.58
1.523,13.31,3.58
1.51574,14.86,3.67
1.51848,13.64,3.87
1.51593,13.09,3.59
1.51631,13.34,3.57
1.51596,13.02,3.56
1.5159,13.02,3.58
1.51645,13.44,3.61
1.51627,13,3.58
1.51613,13.92,3.52
1.5159,12.82,3.52
1.51592,12.86,3.52
1.51593,13.25,3.45
1.51646,13.41,3.55
1.51594,13.09,3.52
1.51409,14.25,3.09
1.51625,13.36,3.58
1.51569,13.24,3.49
1.51645,13.4,3.49
1.51618,13.01,3.5
1.5164,12.55,3.48
1.51841,12.93,3.74
1.51605,12.9,3.44
1.51588,13.12,3.41
1.5159,13.24,3.34
1.51629,12.71,3.33
1.5186,13.36,3.43
1.51841,13.02,3.62
1.51743,12.2,3.25
1.51689,12.67,2.88
1.51811,12.96,2.96
1.51655,12.75,2.85
1.5173,12.35,2.72
1.5182,12.62,2.76
1.52725,13.8,3.15
1.5241,13.83,2.9
1.52475,11.45,0
1.53125,10.73,0
1.53393,12.3,0
1.52222,14.43,0
1.51818,13.72,0
1.52664,11.23,0
1.52739,11.02,0
1.52777,12.64,0
1.51892,13.46,3.83
1.51847,13.1,3.97
1.51846,13.41,3.89
1.51829,13.24,3.9
1.51708,13.72,3.68
1.51673,13.3,3.64
1.51652,13.56,3.57
1.51844,13.25,3.76
1.51663,12.93,3.54
1.51687,13.23,3.54
1.51707,13.48,3.48
1.52177,13.2,3.68
1.51872,12.93,3.66
1.51667,12.94,3.61
1.52081,13.78,2.28
1.52068,13.55,2.09
1.5202,13.98,1.35
1.52177,13.75,1.01
1.52614,13.7,0
1.51813,13.43,3.98
1.518,13.71,3.93
1.51811,13.33,3.85
1.51789,13.19,3.9
1.51806,13,3.8
1.51711,12.89,3.62
1.51674,12.79,3.52
1.51674,12.87,3.56
1.5169,13.33,3.54
1.51851,13.2,3.63
1.51662,12.85,3.51
1.51709,13,3.47
1.5166,12.99,3.18
1.51839,12.85,3.67
1.51769,13.65,3.66
1.5161,13.33,3.53
1.5167,13.24,3.57
1.51643,12.16,3.52
1.51665,13.14,3.45
1.52127,14.32,3.9
1.51779,13.64,3.65
1.5161,13.42,3.4
1.51694,12.86,3.58
1.51646,13.04,3.4
1.51655,13.41,3.39
1.52121,14.03,3.76
1.51776,13.53,3.41
1.51796,13.5,3.36
1.51832,13.33,3.34
1.51934,13.64,3.54
1.52211,14.19,3.78
1.51514,14.01,2.68
1.51915,12.73,1.85
1.52171,11.56,1.88
1.52151,11.03,1.71
1.51969,12.64,0
1.51666,12.86,0
1.51994,13.27,0
1.52369,13.44,0
1.51316,13.02,0
1.51321,13,0
1.52043,13.38,0
1.52058,12.85,1.61
1.52119,12.97,0.33
1.51905,14,2.39
1.51937,13.79,2.41
1.51829,14.46,2.24
1.51852,14.09,2.19
1.51299,14.4,1.74
1.51888,14.99,0.78
1.51916,14.15,0
1.51969,14.56,0
1.51115,17.38,0
1.51131,13.69,3.2
1.51838,14.32,3.26
1.52315,13.44,3.34
1.52247,14.86,2.2
1.52365,15.79,1.83
1.51613,13.88,1.78
1.51602,14.85,0
1.51623,14.2,0
1.51719,14.75,0
1.51683,14.56,0
1.51545,14.14,0
1.51556,13.87,0
1.51727,14.7,0
1.51531,14.38,0
1.51609,15.01,0
1.51508,15.15,0
1.51653,11.95,0
1.51514,14.85,0
1.51658,14.8,0
1.51617,14.95,0
1.51732,14.95,0
1.51645,14.94,0
1.51831,14.39,0
1.5164,14.37,0
1.51623,14.14,0
1.51685,14.92,0
1.52065,14.36,0
1.51651,14.38,0
1.51711,14.23,0
